 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.016	-0.026	 0.010	 0.006	-0.015	 0.015	-0.013	 0.000	 0.079	 0.075	 0.077	 0.062	 0.049	 0.055	 0.047	 0.042	  5803	  7316	  7200	  7884	  7884	   03:15
   2	-0.033	-0.014	-0.003	-0.040	 0.015	-0.005	-0.013	-0.006	 0.081	 0.094	 0.069	 0.081	 0.040	 0.048	 0.046	 0.044	  7153	  5564	  7333	  8263	  8263	   03:17
   3	-0.002	 0.004	-0.002	 0.021	 0.008	 0.011	 0.009	 0.006	 0.079	 0.093	 0.090	 0.067	 0.045	 0.039	 0.048	 0.050	  7025	  5945	  7590	  7799	  7799	   03:13
   4	 0.003	 0.015	-0.019	-0.024	-0.033	-0.003	 0.027	 0.047	 0.058	 0.089	 0.085	 0.086	 0.047	 0.045	 0.051	 0.043	  7673	  5435	  7492	  7821	  7821	   03:27
   5	-0.002	-0.043	 0.009	-0.004	 0.003	 0.021	-0.001	-0.009	 0.076	 0.089	 0.103	 0.079	 0.047	 0.047	 0.044	 0.045	  6372	  7066	  6730	  8170	  8170	   03:25
   6	 0.033	-0.014	 0.008	-0.005	-0.036	 0.000	-0.023	-0.002	 0.069	 0.100	 0.090	 0.100	 0.043	 0.044	 0.047	 0.056	  6541	  6704	  7502	  7520	  7520	   03:19
   7	-0.012	 0.010	 0.024	-0.003	-0.019	-0.014	-0.014	 0.012	 0.095	 0.082	 0.082	 0.059	 0.049	 0.045	 0.044	 0.046	  6804	  6131	  6651	  8748	  8748	   04:07
   8	-0.022	 0.011	 0.011	 0.022	 0.007	-0.001	-0.001	 0.001	 0.072	 0.083	 0.080	 0.072	 0.038	 0.042	 0.045	 0.045	  7632	  5641	  7586	  7653	  7653	   03:15
   9	 0.007	 0.017	-0.009	 0.022	-0.009	 0.031	-0.006	 0.031	 0.079	 0.082	 0.081	 0.083	 0.048	 0.046	 0.038	 0.038	  7041	  6366	  8164	  6948	  8164	   03:11
  10	-0.021	-0.002	 0.013	 0.012	 0.011	-0.005	-0.004	-0.002	 0.086	 0.077	 0.075	 0.087	 0.039	 0.045	 0.044	 0.052	  6882	  6378	  7812	  7342	  7812	   03:07
  11	 0.017	 0.016	-0.005	-0.008	 0.011	-0.017	-0.000	 0.019	 0.072	 0.083	 0.089	 0.071	 0.036	 0.044	 0.048	 0.047	  6735	  6025	  7377	  8343	  8343	   04:01
  12	 0.022	-0.014	 0.000	-0.012	 0.012	-0.003	 0.032	-0.008	 0.086	 0.070	 0.086	 0.085	 0.044	 0.051	 0.042	 0.042	  5432	  7251	  7625	  7998	  7998	   03:47
  13	-0.026	-0.013	-0.004	-0.023	-0.017	-0.026	-0.013	-0.013	 0.076	 0.069	 0.080	 0.054	 0.049	 0.042	 0.040	 0.044	  6709	  6105	  6812	  8689	  8689	   03:41
  14	 0.000	 0.044	 0.014	-0.004	 0.001	-0.028	 0.008	-0.022	 0.069	 0.079	 0.081	 0.055	 0.052	 0.049	 0.043	 0.036	  7377	  4866	  7022	  9036	  9036	   03:39
  15	-0.023	-0.026	 0.027	-0.003	-0.013	 0.009	-0.005	-0.001	 0.074	 0.086	 0.080	 0.080	 0.051	 0.041	 0.049	 0.054	  7129	  6359	  6796	  7960	  7960	   03:38
  16	-0.017	 0.033	 0.006	 0.002	 0.006	-0.003	-0.014	-0.019	 0.076	 0.087	 0.090	 0.072	 0.044	 0.049	 0.050	 0.040	  7714	  4985	  7252	  8339	  8339	   03:31
  17	-0.009	 0.014	-0.000	 0.004	-0.033	 0.017	-0.026	-0.001	 0.074	 0.080	 0.105	 0.086	 0.050	 0.045	 0.051	 0.041	  7500	  6019	  7040	  7777	  7777	   03:40
  18	-0.028	-0.014	 0.010	-0.023	 0.004	 0.002	-0.006	-0.025	 0.078	 0.080	 0.055	 0.086	 0.046	 0.046	 0.047	 0.052	  6841	  6013	  7745	  7605	  7745	   03:32
  19	-0.003	-0.000	-0.042	-0.027	-0.006	 0.012	 0.028	 0.019	 0.074	 0.098	 0.079	 0.091	 0.044	 0.055	 0.046	 0.046	  6953	  5609	  8353	  7293	  8353	   04:18
  20	 0.010	 0.009	 0.017	-0.002	-0.017	-0.004	-0.020	 0.004	 0.086	 0.072	 0.080	 0.079	 0.044	 0.048	 0.036	 0.044	  6386	  6770	  7291	  8030	  8030	   03:30
  21	-0.026	 0.021	-0.000	-0.012	 0.004	 0.000	-0.024	 0.016	 0.077	 0.044	 0.069	 0.070	 0.048	 0.048	 0.050	 0.049	  6890	  6297	  7339	  7742	  7742	   03:21
  22	 0.004	 0.014	 0.002	-0.012	-0.012	 0.026	-0.010	 0.015	 0.081	 0.091	 0.086	 0.083	 0.038	 0.048	 0.041	 0.050	  7119	  6029	  7266	  7991	  7991	   03:25
  23	 0.008	-0.011	-0.007	-0.034	 0.014	-0.008	-0.027	-0.000	 0.060	 0.086	 0.101	 0.076	 0.046	 0.045	 0.039	 0.041	  6865	  6083	  6704	  8803	  8803	   03:35
  24	-0.012	 0.004	-0.011	 0.015	-0.014	 0.005	 0.039	 0.011	 0.074	 0.078	 0.085	 0.065	 0.046	 0.040	 0.047	 0.047	  7070	  5939	  7705	  7654	  7705	   03:22
  25	 0.022	-0.024	-0.005	-0.014	-0.003	 0.023	 0.009	-0.002	 0.069	 0.069	 0.073	 0.081	 0.043	 0.047	 0.055	 0.048	  5724	  7255	  7678	  7529	  7678	   03:27
  26	 0.011	-0.003	-0.037	-0.004	 0.001	 0.010	-0.020	-0.032	 0.066	 0.078	 0.077	 0.082	 0.045	 0.051	 0.057	 0.049	  6344	  6251	  8528	  6956	  8528	   03:40
  27	 0.012	 0.022	-0.015	 0.004	 0.010	 0.039	-0.014	-0.008	 0.094	 0.063	 0.076	 0.073	 0.044	 0.041	 0.051	 0.038	  5984	  6818	  8135	  7439	  8135	   03:38
  28	-0.000	-0.008	-0.004	 0.008	-0.011	-0.046	-0.025	-0.006	 0.091	 0.076	 0.068	 0.075	 0.040	 0.044	 0.041	 0.040	  5997	  6800	  8298	  7467	  8298	   03:40
  29	 0.009	-0.009	-0.017	 0.006	 0.024	-0.012	-0.008	-0.009	 0.067	 0.082	 0.067	 0.090	 0.040	 0.050	 0.037	 0.044	  6444	  6399	  8776	  6818	  8776	   03:24
  30	 0.012	 0.012	-0.003	 0.008	 0.029	 0.001	 0.012	-0.029	 0.089	 0.073	 0.081	 0.077	 0.044	 0.043	 0.040	 0.043	  5994	  6521	  8107	  7810	  8107	   03:32
  31	 0.037	-0.023	-0.010	 0.018	-0.010	 0.025	 0.019	 0.003	 0.089	 0.070	 0.072	 0.067	 0.043	 0.043	 0.042	 0.040	  4979	  7901	  8312	  7227	  8312	   03:19
  32	 0.011	-0.009	 0.017	 0.010	-0.000	 0.017	-0.010	 0.025	 0.070	 0.071	 0.083	 0.084	 0.048	 0.041	 0.050	 0.051	  6539	  6995	  7321	  7475	  7475	   03:26
  33	-0.004	 0.001	 0.008	-0.005	 0.019	-0.000	-0.016	 0.005	 0.075	 0.075	 0.075	 0.075	 0.041	 0.046	 0.044	 0.044	  6739	  6308	  7450	  7925	  7925	   03:22
  34	 0.032	-0.023	-0.000	-0.012	-0.009	 0.003	 0.017	 0.021	 0.088	 0.101	 0.080	 0.072	 0.041	 0.042	 0.050	 0.046	  5708	  6949	  7505	  8225	  8225	   03:38
  35	 0.002	-0.008	 0.013	 0.003	 0.005	 0.011	-0.016	 0.004	 0.083	 0.083	 0.082	 0.081	 0.048	 0.042	 0.039	 0.044	  6538	  6706	  7425	  7807	  7807	   03:20
  36	-0.008	 0.005	-0.003	-0.004	-0.001	 0.008	-0.017	-0.001	 0.084	 0.075	 0.071	 0.089	 0.045	 0.041	 0.042	 0.051	  6666	  6409	  8033	  7245	  8033	   03:41
  37	-0.010	-0.013	 0.007	-0.012	-0.019	-0.002	-0.003	 0.015	 0.085	 0.080	 0.086	 0.082	 0.048	 0.042	 0.039	 0.043	  6644	  6656	  7142	  8059	  8059	   03:43
  38	-0.004	-0.017	 0.007	-0.010	-0.018	-0.008	 0.021	 0.009	 0.082	 0.097	 0.083	 0.089	 0.045	 0.048	 0.047	 0.047	  6748	  6259	  7430	  7853	  7853	   03:39
  39	 0.022	 0.021	-0.032	-0.020	 0.010	 0.013	-0.032	-0.016	 0.098	 0.093	 0.077	 0.079	 0.048	 0.044	 0.045	 0.043	  6072	  6100	  8380	  7769	  8380	   03:49
  40	 0.007	 0.031	-0.008	-0.008	-0.007	-0.021	-0.017	 0.034	 0.075	 0.074	 0.106	 0.072	 0.046	 0.049	 0.048	 0.042	  7094	  5884	  6925	  8514	  8514	   03:51
  41	-0.014	-0.013	 0.025	-0.019	-0.036	-0.040	-0.019	 0.012	 0.074	 0.075	 0.073	 0.083	 0.048	 0.044	 0.042	 0.045	  6905	  6426	  6908	  8251	  8251	   03:56
  42	-0.025	 0.029	 0.029	 0.009	-0.003	-0.009	 0.011	-0.042	 0.096	 0.073	 0.082	 0.064	 0.047	 0.042	 0.045	 0.041	  7020	  5635	  7034	  8699	  8699	   03:34
  43	 0.004	 0.035	 0.011	-0.005	-0.001	 0.016	-0.002	 0.010	 0.090	 0.070	 0.095	 0.084	 0.045	 0.040	 0.045	 0.046	  6838	  6226	  7116	  8240	  8240	   03:26
