 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.021	-0.038	 0.012	-0.032	 0.002	 0.011	-0.016	 0.027	 0.113	 0.132	 0.103	 0.130	 0.042	 0.049	 0.052	 0.040	  5916	  7096	  7448	  7887	  7887	   03:07
   2	 0.062	-0.020	 0.022	 0.021	 0.034	 0.074	-0.031	 0.002	 0.109	 0.131	 0.134	 0.118	 0.034	 0.046	 0.048	 0.038	  5693	  7769	  7367	  7785	  7785	   03:22
   3	-0.029	-0.011	 0.008	 0.024	-0.044	 0.001	 0.003	 0.011	 0.122	 0.139	 0.115	 0.125	 0.055	 0.048	 0.041	 0.048	  7522	  5869	  7892	  7053	  7892	   03:09
   4	 0.051	-0.015	-0.016	-0.012	-0.014	 0.027	 0.005	 0.021	 0.140	 0.141	 0.151	 0.140	 0.050	 0.049	 0.045	 0.048	  5302	  7474	  7648	  7819	  7819	   03:01
   5	 0.007	 0.031	 0.027	 0.049	 0.006	 0.025	-0.007	-0.010	 0.141	 0.125	 0.133	 0.120	 0.048	 0.047	 0.041	 0.046	  6770	  6388	  7736	  7475	  7736	   03:09
   6	-0.022	 0.025	 0.002	-0.092	 0.036	-0.013	-0.003	 0.020	 0.128	 0.128	 0.142	 0.133	 0.051	 0.041	 0.045	 0.049	  7340	  5092	  5913	  9948	  9948	   03:14
   7	-0.034	 0.043	-0.045	-0.046	 0.005	-0.002	-0.032	-0.039	 0.141	 0.128	 0.133	 0.138	 0.051	 0.043	 0.047	 0.048	  7343	  4773	  8077	  8040	  8077	   03:04
   8	-0.017	 0.059	 0.025	 0.035	 0.007	-0.012	 0.039	-0.042	 0.138	 0.135	 0.140	 0.129	 0.045	 0.039	 0.047	 0.044	  7751	  4759	  7822	  8080	  8080	   03:05
   9	-0.018	 0.030	 0.041	 0.030	 0.004	 0.049	 0.035	-0.022	 0.129	 0.132	 0.130	 0.138	 0.043	 0.044	 0.049	 0.050	  7690	  5653	  7401	  7635	  7690	   03:05
  10	 0.013	-0.000	-0.031	-0.036	-0.051	 0.019	 0.007	-0.065	 0.130	 0.127	 0.127	 0.146	 0.042	 0.051	 0.042	 0.052	  6055	  6494	  8216	  7565	  8216	   03:05
  11	 0.024	-0.019	 0.032	-0.004	-0.022	-0.009	 0.059	 0.009	 0.129	 0.143	 0.120	 0.116	 0.043	 0.039	 0.051	 0.043	  6042	  6631	  7179	  8617	  8617	   03:08
  12	 0.078	 0.021	-0.062	 0.057	-0.021	-0.076	 0.055	 0.010	 0.119	 0.120	 0.133	 0.137	 0.043	 0.045	 0.040	 0.039	  4876	  7161	 10763	  5901	 10763	   03:16
  13	-0.078	 0.026	 0.013	-0.041	 0.018	-0.071	 0.098	-0.008	 0.125	 0.133	 0.137	 0.133	 0.040	 0.048	 0.050	 0.056	  8447	  3986	  6792	  9095	  9095	   03:07
  14	 0.013	 0.001	-0.000	 0.031	 0.017	-0.027	-0.020	 0.000	 0.126	 0.145	 0.122	 0.134	 0.039	 0.048	 0.041	 0.035	  6677	  6268	  8649	  6998	  8649	   03:05
  15	 0.047	-0.069	-0.017	-0.027	 0.073	-0.021	-0.008	-0.047	 0.110	 0.140	 0.124	 0.141	 0.045	 0.052	 0.046	 0.046	  4798	  7539	  8285	  7695	  8285	   03:05
  16	-0.024	 0.039	 0.005	-0.031	 0.000	-0.015	 0.021	-0.050	 0.127	 0.136	 0.142	 0.123	 0.046	 0.050	 0.043	 0.042	  7684	  4565	  6857	  9185	  9185	   03:19
  17	-0.023	-0.043	-0.056	-0.011	 0.094	-0.040	-0.034	-0.018	 0.150	 0.114	 0.132	 0.141	 0.040	 0.041	 0.041	 0.045	  5458	  7265	  9159	  6844	  9159	   03:09
  18	 0.002	-0.047	 0.034	 0.002	 0.070	 0.004	-0.009	 0.078	 0.135	 0.132	 0.130	 0.138	 0.045	 0.046	 0.042	 0.055	  5947	  7635	  7097	  7912	  7912	   03:11
  19	 0.037	-0.040	-0.032	-0.011	 0.040	 0.026	-0.039	 0.036	 0.126	 0.121	 0.144	 0.127	 0.042	 0.049	 0.043	 0.041	  5176	  8039	  7835	  7470	  8039	   02:57
  20	-0.009	 0.002	 0.010	-0.025	 0.031	 0.000	 0.022	 0.007	 0.130	 0.136	 0.117	 0.155	 0.052	 0.045	 0.037	 0.048	  6797	  5971	  7879	  7699	  7879	   03:03
  21	 0.029	 0.021	 0.056	-0.081	-0.016	 0.001	-0.004	-0.061	 0.116	 0.136	 0.112	 0.133	 0.041	 0.038	 0.060	 0.038	  6570	  5551	  5933	 10284	 10284	   03:17
