 IND	    DX_1	    DX_2	    DX_3	    DX_4	    DY_1	    DY_2	    DY_3	    DY_4	    JEU1	    JEU2	    JEU3	    JEU4	    INT1	    INT2	    INT3	    INT4	      F1	      F2	      F3	      F4	     FIT	      TIME
   1	   0.074	  -0.032	  -0.051	  -0.046	   0.076	  -0.002	   0.009	  -0.000	   0.176	   0.166	   0.180	   0.181	   0.051	   0.035	   0.039	   0.050	    4145	    7959	    8435	    7928	    8435	     02:58
   2	  -0.090	   0.051	  -0.030	   0.041	   0.004	  -0.021	  -0.018	  -0.018	   0.182	   0.181	   0.182	   0.179	   0.050	   0.047	   0.045	   0.035	    9056	    3808	    8843	    6728	    9056	     03:14
   3	  -0.054	  -0.008	   0.071	   0.027	   0.002	  -0.029	  -0.028	  -0.030	   0.181	   0.192	   0.168	   0.173	   0.044	   0.049	   0.048	   0.041	    7866	    5462	    6814	    8294	    8294	     03:10
   4	   0.112	  -0.090	   0.036	   0.062	  -0.067	  -0.013	   0.091	   0.022	   0.190	   0.194	   0.194	   0.194	   0.041	   0.051	   0.049	   0.049	    3502	    9609	    8346	    6993	    9609	     04:37
   5	   0.027	  -0.010	   0.029	  -0.012	   0.039	  -0.094	  -0.050	  -0.039	   0.208	   0.190	   0.172	   0.180	   0.039	   0.044	   0.040	   0.045	    5310	    7019	    7638	    8635	    8635	     03:02
   6	   0.002	  -0.009	  -0.116	  -0.080	   0.026	   0.011	  -0.002	   0.020	   0.175	   0.209	   0.173	   0.183	   0.042	   0.044	   0.053	   0.044	    6401	    5372	    9144	    7448	    9144	     03:13
   7	  -0.135	   0.002	  -0.071	   0.048	  -0.024	   0.013	   0.026	  -0.036	   0.186	   0.170	   0.185	   0.191	   0.050	   0.041	   0.048	   0.054	    8902	    4539	    9609	    5264	    9609	     03:03
   8	  -0.019	   0.013	  -0.008	  -0.068	   0.024	  -0.002	   0.029	  -0.013	   0.167	   0.184	   0.163	   0.168	   0.044	   0.047	   0.038	   0.050	    7241	    5035	    6975	    9111	    9111	     03:07
   9	   0.034	  -0.028	  -0.010	  -0.009	   0.063	   0.049	   0.034	   0.005	   0.154	   0.170	   0.178	   0.173	   0.047	   0.048	   0.042	   0.035	    5714	    7168	    7723	    7830	    7830	     03:05
  10	   0.014	  -0.017	   0.046	   0.013	  -0.022	  -0.018	  -0.028	   0.003	   0.192	   0.188	   0.196	   0.180	   0.046	   0.053	   0.050	   0.052	    6111	    7027	    6667	    8422	    8422	     03:09
  11	   0.021	   0.003	  -0.039	  -0.020	  -0.022	   0.007	   0.013	  -0.075	   0.197	   0.182	   0.177	   0.191	   0.041	   0.039	   0.046	   0.050	    5479	    6626	    8851	    7480	    8851	     03:59
  12	  -0.024	   0.026	  -0.029	  -0.023	  -0.015	  -0.079	  -0.045	  -0.062	   0.197	   0.176	   0.183	   0.182	   0.045	   0.045	   0.044	   0.047	    6627	    5489	    8253	    8038	    8253	     03:55
