 IND	    DX_1	    DX_2	    DX_3	    DX_4	    DY_1	    DY_2	    DY_3	    DY_4	    JEU1	    JEU2	    JEU3	    JEU4	    INT1	    INT2	    INT3	    INT4	      F1	      F2	      F3	      F4	     FIT	      TIME
   1	   0.016	   0.018	   0.002	   0.004	   0.010	  -0.006	   0.037	   0.013	   0.091	   0.092	   0.088	   0.053	   0.040	   0.046	   0.042	   0.049	    6398	    6000	    7270	    8743	    8743	     02:45
   2	   0.018	  -0.010	  -0.004	   0.016	  -0.019	   0.006	  -0.018	   0.011	   0.075	   0.063	   0.076	   0.073	   0.047	   0.045	   0.056	   0.043	    5911	    7326	    7902	    7143	    7902	     02:58
   3	  -0.009	  -0.001	   0.013	   0.002	   0.019	   0.020	   0.031	  -0.028	   0.074	   0.071	   0.073	   0.082	   0.045	   0.049	   0.046	   0.047	    6675	    6260	    7640	    7668	    7668	     02:46
   4	  -0.002	  -0.008	   0.007	  -0.031	   0.004	  -0.022	   0.015	  -0.035	   0.088	   0.066	   0.082	   0.073	   0.050	   0.040	   0.037	   0.048	    5788	    6669	    7053	    8812	    8812	     03:00
   5	   0.006	  -0.052	  -0.023	   0.031	   0.025	  -0.012	   0.011	  -0.026	   0.060	   0.092	   0.069	   0.087	   0.043	   0.044	   0.044	   0.045	    6092	    6916	    9196	    6164	    9196	     02:50
   6	   0.017	   0.012	  -0.006	  -0.010	  -0.020	  -0.030	  -0.017	   0.017	   0.057	   0.084	   0.102	   0.083	   0.043	   0.041	   0.038	   0.036	    7254	    5948	    7186	    8308	    8308	     03:14
   7	   0.013	  -0.003	  -0.015	  -0.007	  -0.023	  -0.004	   0.009	  -0.012	   0.078	   0.085	   0.088	   0.083	   0.040	   0.038	   0.048	   0.049	    6394	    6403	    7867	    7749	    7867	     03:05
   8	  -0.028	  -0.020	  -0.001	  -0.009	   0.033	   0.019	   0.023	   0.013	   0.067	   0.092	   0.079	   0.094	   0.046	   0.043	   0.047	   0.039	    7429	    5793	    7706	    7465	    7706	     03:15
   9	   0.002	  -0.032	  -0.000	  -0.034	  -0.000	  -0.001	  -0.006	   0.004	   0.091	   0.093	   0.078	   0.095	   0.049	   0.049	   0.044	   0.048	    5935	    6894	    7471	    7918	    7918	     02:51
  10	  -0.001	  -0.010	   0.028	  -0.011	   0.001	  -0.002	  -0.009	   0.007	   0.066	   0.069	   0.078	   0.104	   0.048	   0.041	   0.042	   0.041	    6777	    6787	    7300	    7674	    7674	     02:47
  11	   0.029	  -0.005	  -0.018	   0.025	   0.010	  -0.026	   0.042	  -0.010	   0.083	   0.073	   0.071	   0.080	   0.041	   0.038	   0.047	   0.040	    5345	    6970	    9206	    6963	    9206	     03:20
  12	   0.002	   0.014	  -0.009	  -0.007	  -0.005	  -0.007	  -0.010	  -0.003	   0.081	   0.075	   0.088	   0.069	   0.050	   0.042	   0.042	   0.046	    6596	    6122	    7421	    8188	    8188	     03:12
  13	  -0.029	  -0.036	  -0.016	   0.017	  -0.005	  -0.002	  -0.006	   0.000	   0.077	   0.072	   0.096	   0.083	   0.046	   0.045	   0.037	   0.044	    6725	    7005	    7746	    7016	    7746	     03:07
  14	  -0.019	   0.017	   0.007	   0.020	   0.010	  -0.024	   0.004	   0.028	   0.072	   0.085	   0.083	   0.077	   0.040	   0.047	   0.048	   0.046	    7694	    5530	    7672	    7619	    7694	     03:15
  15	   0.007	  -0.015	  -0.005	   0.011	  -0.015	   0.006	  -0.010	   0.009	   0.058	   0.093	   0.070	   0.097	   0.050	   0.047	   0.047	   0.043	    7083	    6239	    8368	    6627	    8368	     03:12
  16	  -0.006	   0.009	  -0.022	  -0.011	   0.006	  -0.018	  -0.002	   0.004	   0.089	   0.082	   0.068	   0.092	   0.050	   0.045	   0.051	   0.042	    6438	    6020	    8645	    7160	    8645	     03:11
  17	  -0.019	   0.014	   0.032	  -0.008	   0.012	  -0.004	  -0.028	   0.002	   0.092	   0.083	   0.084	   0.065	   0.048	   0.047	   0.046	   0.048	    7085	    5870	    6450	    8879	    8879	     03:26
  18	  -0.017	  -0.002	   0.033	  -0.014	   0.041	   0.009	   0.014	  -0.017	   0.058	   0.090	   0.081	   0.080	   0.040	   0.046	   0.048	   0.049	    7643	    5298	    6718	    8654	    8654	     03:16
  19	   0.016	  -0.002	   0.017	  -0.018	  -0.034	   0.023	  -0.012	  -0.028	   0.082	   0.092	   0.094	   0.076	   0.050	   0.050	   0.049	   0.047	    6501	    6413	    6586	    8672	    8672	     03:19
  20	  -0.006	   0.008	  -0.020	  -0.019	  -0.010	   0.006	   0.010	   0.013	   0.075	   0.064	   0.084	   0.077	   0.048	   0.042	   0.044	   0.038	    6668	    6319	    7573	    7865	    7865	     02:51
  21	  -0.029	   0.011	  -0.030	  -0.014	  -0.002	  -0.015	  -0.009	   0.007	   0.079	   0.081	   0.064	   0.082	   0.039	   0.047	   0.042	   0.043	    7274	    5451	    8524	    7134	    8524	     03:03
  22	  -0.003	  -0.037	  -0.008	  -0.005	  -0.000	  -0.001	   0.001	   0.004	   0.098	   0.068	   0.078	   0.091	   0.044	   0.048	   0.052	   0.046	    5348	    7745	    8007	    7158	    8007	     03:09
  23	   0.010	   0.015	   0.011	  -0.018	  -0.016	   0.006	   0.008	  -0.003	   0.093	   0.079	   0.067	   0.084	   0.052	   0.045	   0.044	   0.052	    6207	    6346	    7651	    7957	    7957	     03:13
  24	   0.002	   0.006	   0.015	   0.009	  -0.035	  -0.014	   0.029	  -0.019	   0.072	   0.087	   0.083	   0.090	   0.039	   0.049	   0.046	   0.046	    7161	    5962	    7658	    7662	    7662	     03:14
  25	  -0.002	  -0.014	   0.024	   0.020	  -0.000	  -0.001	  -0.023	  -0.006	   0.093	   0.094	   0.089	   0.079	   0.043	   0.045	   0.047	   0.042	    6543	    6711	    7308	    7882	    7882	     02:51
  26	   0.011	  -0.021	   0.006	   0.022	   0.010	  -0.004	  -0.038	   0.026	   0.078	   0.090	   0.074	   0.069	   0.044	   0.043	   0.045	   0.043	    6431	    6952	    7850	    7382	    7850	     03:09
  27	  -0.003	  -0.014	  -0.005	  -0.018	  -0.008	   0.011	   0.001	  -0.005	   0.070	   0.092	   0.078	   0.084	   0.040	   0.046	   0.051	   0.047	    6909	    6055	    7533	    7787	    7787	     02:53
  28	   0.013	   0.040	   0.001	  -0.003	  -0.013	  -0.003	   0.018	  -0.034	   0.061	   0.058	   0.080	   0.090	   0.050	   0.044	   0.045	   0.044	    6935	    5778	    7915	    7655	    7915	     02:51
  29	   0.010	   0.003	   0.022	  -0.008	   0.019	   0.008	  -0.022	   0.007	   0.083	   0.069	   0.081	   0.057	   0.047	   0.047	   0.046	   0.053	    6233	    6697	    6601	    8706	    8706	     03:04
  30	   0.005	  -0.008	  -0.013	  -0.021	   0.030	   0.023	  -0.003	  -0.001	   0.065	   0.082	   0.085	   0.090	   0.046	   0.047	   0.044	   0.042	    6730	    6232	    7665	    7722	    7722	     02:53
  31	   0.003	   0.014	   0.009	  -0.005	   0.005	  -0.004	  -0.033	  -0.000	   0.084	   0.092	   0.095	   0.097	   0.044	   0.045	   0.042	   0.053	    7057	    6030	    7382	    7877	    7877	     02:55
  32	  -0.000	  -0.031	   0.015	   0.005	  -0.011	  -0.018	  -0.029	  -0.010	   0.082	   0.090	   0.080	   0.093	   0.052	   0.053	   0.043	   0.047	    6302	    6909	    7639	    7383	    7639	     02:55
  33	   0.006	  -0.033	  -0.031	   0.006	  -0.003	   0.001	  -0.005	  -0.014	   0.102	   0.070	   0.078	   0.078	   0.049	   0.041	   0.048	   0.042	    4973	    7741	    8641	    6955	    8641	     03:07
  34	   0.012	  -0.007	  -0.008	   0.007	   0.016	  -0.002	   0.017	   0.004	   0.070	   0.100	   0.087	   0.089	   0.047	   0.042	   0.036	   0.051	    6814	    6087	    8051	    7449	    8051	     02:51
  35	  -0.002	  -0.012	   0.010	  -0.011	   0.014	   0.007	   0.011	   0.009	   0.096	   0.086	   0.086	   0.093	   0.050	   0.047	   0.046	   0.044	    6208	    6742	    7406	    7890	    7890	     02:53
  36	  -0.005	  -0.009	   0.022	   0.004	  -0.043	   0.024	   0.022	   0.006	   0.075	   0.077	   0.078	   0.068	   0.043	   0.047	   0.047	   0.052	    7033	    6576	    6807	    7928	    7928	     02:55
  37	   0.039	   0.002	   0.009	   0.020	   0.021	  -0.021	   0.019	   0.004	   0.076	   0.068	   0.085	   0.074	   0.044	   0.037	   0.052	   0.044	    5570	    7136	    7883	    7848	    7883	     03:08
  38	  -0.010	  -0.026	  -0.011	  -0.006	   0.008	   0.035	   0.000	   0.004	   0.067	   0.066	   0.087	   0.077	   0.040	   0.046	   0.041	   0.041	    6592	    7036	    7353	    7508	    7508	     02:51
  39	  -0.003	   0.006	  -0.014	  -0.022	   0.002	   0.003	  -0.025	   0.017	   0.070	   0.088	   0.081	   0.070	   0.049	   0.043	   0.040	   0.035	    7164	    5724	    7398	    8214	    8214	     03:09
  40	   0.013	  -0.045	  -0.004	   0.006	   0.010	  -0.021	  -0.018	   0.003	   0.089	   0.056	   0.079	   0.085	   0.046	   0.048	   0.047	   0.041	    4846	    8345	    8065	    7141	    8345	     03:04
  41	   0.005	  -0.020	  -0.015	  -0.015	   0.012	  -0.025	   0.027	  -0.004	   0.083	   0.070	   0.085	   0.071	   0.042	   0.048	   0.054	   0.043	    5611	    6871	    7632	    8144	    8144	     03:05
  42	  -0.006	   0.006	  -0.022	  -0.003	   0.007	  -0.012	   0.001	  -0.007	   0.069	   0.088	   0.067	   0.082	   0.047	   0.049	   0.043	   0.046	    6997	    5560	    8522	    7191	    8522	     03:14
  43	  -0.013	   0.034	  -0.020	   0.032	   0.003	  -0.014	  -0.030	  -0.022	   0.068	   0.098	   0.079	   0.089	   0.045	   0.047	   0.052	   0.051	    7988	    4754	    8879	    6582	    8879	     03:27
  44	   0.007	  -0.020	  -0.008	   0.016	  -0.009	  -0.009	  -0.020	  -0.001	   0.088	   0.066	   0.065	   0.072	   0.052	   0.049	   0.052	   0.040	    5511	    7392	    8362	    6960	    8362	     03:18
  45	   0.001	  -0.012	  -0.023	  -0.004	  -0.012	   0.007	   0.008	  -0.009	   0.079	   0.079	   0.089	   0.084	   0.041	   0.043	   0.045	   0.051	    6367	    6620	    7960	    7376	    7960	     02:51
  46	   0.027	   0.003	   0.011	   0.028	  -0.021	   0.023	   0.021	   0.000	   0.086	   0.091	   0.066	   0.091	   0.047	   0.040	   0.041	   0.052	    6214	    6793	    8624	    6765	    8624	     03:55
  47	   0.010	   0.018	  -0.004	  -0.005	  -0.012	  -0.003	   0.031	   0.010	   0.085	   0.078	   0.089	   0.084	   0.041	   0.046	   0.042	   0.045	    6551	    6273	    7677	    7945	    7945	     05:32
  48	  -0.013	  -0.021	  -0.002	  -0.006	  -0.004	   0.028	  -0.014	   0.000	   0.081	   0.090	   0.078	   0.091	   0.050	   0.048	   0.047	   0.047	    6777	    6506	    7718	    7235	    7718	     04:55
  49	  -0.012	   0.026	   0.019	  -0.035	   0.013	  -0.001	   0.024	  -0.005	   0.074	   0.104	   0.071	   0.062	   0.052	   0.045	   0.042	   0.051	    7643	    4520	    6674	    9341	    9341	     06:06
  50	   0.002	   0.004	   0.010	   0.021	  -0.015	  -0.019	  -0.018	  -0.015	   0.081	   0.083	   0.081	   0.064	   0.042	   0.050	   0.042	   0.047	    6674	    6248	    7526	    7883	    7883	     05:01
  51	   0.063	  -0.002	  -0.028	   0.000	   0.021	   0.009	  -0.007	   0.016	   0.102	   0.092	   0.092	   0.088	   0.044	   0.046	   0.045	   0.039	    4850	    7568	    8563	    7444	    8563	     05:20
  52	  -0.014	  -0.014	  -0.017	  -0.022	   0.015	   0.033	   0.003	  -0.013	   0.072	   0.064	   0.084	   0.097	   0.043	   0.047	   0.043	   0.044	    6558	    6792	    7723	    7304	    7723	     05:11
  53	  -0.006	   0.008	  -0.010	  -0.024	   0.017	   0.019	   0.026	   0.015	   0.061	   0.085	   0.085	   0.084	   0.048	   0.047	   0.049	   0.048	    7345	    5487	    7333	    8030	    8030	     04:22
  54	   0.007	  -0.023	   0.021	  -0.002	   0.016	  -0.011	   0.002	  -0.008	   0.084	   0.083	   0.065	   0.066	   0.046	   0.047	   0.046	   0.050	    5888	    6808	    7392	    8129	    8129	     04:10
  55	   0.007	   0.014	   0.014	   0.031	   0.006	  -0.015	   0.021	  -0.000	   0.086	   0.076	   0.071	   0.094	   0.043	   0.051	   0.048	   0.050	    6449	    6445	    8485	    6843	    8485	     04:46
  56	   0.029	   0.016	  -0.007	   0.008	  -0.019	  -0.004	  -0.015	  -0.013	   0.069	   0.093	   0.087	   0.075	   0.046	   0.047	   0.039	   0.047	    6746	    5972	    7835	    7762	    7835	     04:04
  57	  -0.003	  -0.005	  -0.005	  -0.010	   0.011	  -0.007	  -0.024	   0.016	   0.080	   0.067	   0.066	   0.089	   0.043	   0.045	   0.042	   0.044	    6314	    6838	    8098	    7226	    8098	     03:39
  58	   0.030	   0.001	   0.002	  -0.009	   0.007	   0.023	  -0.002	  -0.015	   0.088	   0.083	   0.084	   0.075	   0.048	   0.041	   0.048	   0.040	    5756	    6862	    7529	    8225	    8225	     04:06
  59	   0.018	  -0.003	  -0.012	  -0.016	  -0.016	   0.032	  -0.005	  -0.041	   0.082	   0.060	   0.072	   0.078	   0.047	   0.037	   0.046	   0.038	    5572	    7229	    7947	    7713	    7947	     03:43
  60	  -0.015	  -0.015	  -0.007	  -0.035	  -0.031	   0.027	   0.004	   0.019	   0.080	   0.076	   0.073	   0.107	   0.053	   0.050	   0.050	   0.049	    6737	    6621	    7602	    7194	    7602	     03:43
  61	  -0.023	  -0.021	  -0.010	  -0.003	   0.001	   0.010	   0.011	   0.026	   0.093	   0.096	   0.081	   0.096	   0.050	   0.053	   0.043	   0.048	    6789	    6397	    7951	    7080	    7951	     03:43
  62	   0.020	  -0.008	  -0.017	   0.002	   0.005	  -0.009	  -0.013	   0.003	   0.086	   0.075	   0.088	   0.096	   0.050	   0.048	   0.040	   0.044	    5777	    7160	    8276	    7121	    8276	     03:43
  63	   0.027	   0.008	  -0.011	   0.045	  -0.025	   0.013	   0.020	  -0.001	   0.073	   0.069	   0.082	   0.092	   0.044	   0.045	   0.038	   0.043	    6302	    7117	    8885	    6224	    8885	     03:47
  64	  -0.008	  -0.023	   0.028	  -0.032	   0.015	   0.013	   0.000	   0.013	   0.086	   0.078	   0.082	   0.094	   0.051	   0.051	   0.049	   0.040	    6320	    6892	    6679	    8354	    8354	     03:37
  65	   0.004	   0.008	  -0.005	   0.020	  -0.010	   0.012	  -0.016	   0.003	   0.075	   0.081	   0.078	   0.093	   0.049	   0.047	   0.048	   0.044	    6872	    6342	    8354	    6707	    8354	     04:36
  66	   0.013	   0.020	  -0.035	  -0.013	  -0.025	   0.006	   0.024	  -0.016	   0.080	   0.077	   0.093	   0.084	   0.043	   0.045	   0.042	   0.048	    6431	    6084	    8138	    7665	    8138	     03:42
  67	  -0.011	  -0.021	  -0.011	   0.008	  -0.011	  -0.022	   0.005	  -0.033	   0.083	   0.068	   0.065	   0.085	   0.050	   0.044	   0.047	   0.047	    5921	    6817	    8637	    6859	    8637	     03:49
  68	  -0.033	   0.004	   0.003	   0.027	  -0.017	   0.010	  -0.050	  -0.031	   0.085	   0.091	   0.078	   0.080	   0.049	   0.047	   0.038	   0.050	    7578	    5839	    7994	    6959	    7994	     03:52
  69	  -0.002	  -0.001	  -0.021	   0.008	  -0.006	  -0.017	   0.006	  -0.018	   0.069	   0.074	   0.087	   0.084	   0.047	   0.044	   0.053	   0.040	    6615	    6196	    8235	    7232	    8235	     03:51
  70	   0.028	   0.016	  -0.015	   0.019	   0.006	   0.006	   0.004	  -0.015	   0.092	   0.069	   0.088	   0.074	   0.051	   0.041	   0.046	   0.047	    5629	    6905	    8260	    7448	    8260	     03:39
  71	   0.011	   0.031	  -0.020	  -0.011	   0.015	  -0.005	  -0.021	  -0.027	   0.079	   0.087	   0.077	   0.090	   0.045	   0.048	   0.041	   0.040	    6819	    5520	    8448	    7578	    8448	     03:31
  72	   0.020	   0.039	  -0.006	   0.008	   0.009	   0.006	   0.015	   0.022	   0.080	   0.080	   0.069	   0.077	   0.046	   0.047	   0.044	   0.044	    6717	    5815	    8332	    7463	    8332	     03:47
  73	  -0.009	   0.003	  -0.004	   0.016	   0.061	  -0.019	   0.010	   0.014	   0.087	   0.069	   0.075	   0.074	   0.041	   0.037	   0.041	   0.041	    6337	    6442	    8313	    7560	    8313	     03:35
  74	   0.007	   0.007	   0.019	   0.028	  -0.004	  -0.035	  -0.023	  -0.021	   0.091	   0.099	   0.078	   0.087	   0.040	   0.048	   0.043	   0.039	    6676	    6168	    8204	    7455	    8204	     03:35
  75	   0.011	   0.030	  -0.027	   0.031	   0.023	  -0.002	  -0.007	  -0.011	   0.088	   0.084	   0.083	   0.107	   0.046	   0.046	   0.037	   0.047	    6667	    6119	    9473	    6170	    9473	     03:51
  76	  -0.009	   0.002	   0.019	  -0.000	   0.012	  -0.025	  -0.014	  -0.030	   0.079	   0.073	   0.084	   0.074	   0.043	   0.043	   0.041	   0.041	    6677	    6226	    7207	    8388	    8388	     03:53
  77	   0.018	   0.037	   0.018	   0.007	  -0.012	  -0.008	   0.007	  -0.018	   0.090	   0.086	   0.077	   0.065	   0.048	   0.048	   0.043	   0.049	    6580	    5745	    7483	    8408	    8408	     03:31
  78	  -0.000	   0.024	   0.024	  -0.008	  -0.008	   0.001	   0.027	  -0.007	   0.090	   0.079	   0.088	   0.098	   0.050	   0.052	   0.049	   0.048	    6806	    6028	    7233	    8061	    8061	     03:27
  79	   0.017	   0.001	  -0.014	   0.011	   0.012	   0.004	   0.003	  -0.020	   0.056	   0.087	   0.091	   0.078	   0.045	   0.043	   0.049	   0.047	    6875	    5935	    7928	    7531	    7928	     03:23
  80	  -0.004	  -0.026	  -0.012	  -0.002	   0.038	   0.025	   0.038	   0.009	   0.116	   0.083	   0.065	   0.100	   0.049	   0.056	   0.040	   0.045	    5239	    7378	    8814	    6749	    8814	     03:35
  81	  -0.012	  -0.001	  -0.024	  -0.022	   0.004	  -0.010	  -0.028	   0.024	   0.088	   0.071	   0.069	   0.084	   0.041	   0.053	   0.051	   0.039	    6377	    6544	    8085	    7382	    8085	     03:19
  82	  -0.026	  -0.021	  -0.007	  -0.005	  -0.013	  -0.010	   0.003	   0.003	   0.072	   0.088	   0.085	   0.085	   0.043	   0.046	   0.050	   0.045	    7221	    6063	    7551	    7522	    7551	     03:21
  83	  -0.000	  -0.017	  -0.005	  -0.018	  -0.007	  -0.009	   0.000	   0.000	   0.077	   0.079	   0.091	   0.064	   0.047	   0.041	   0.046	   0.047	    6331	    6524	    6889	    8575	    8575	     03:25
  84	  -0.027	  -0.003	   0.024	  -0.021	  -0.029	  -0.031	  -0.015	   0.008	   0.086	   0.083	   0.073	   0.081	   0.047	   0.046	   0.040	   0.044	    7126	    6001	    6917	    8393	    8393	     03:39
  85	   0.025	  -0.001	   0.022	  -0.016	  -0.011	   0.019	   0.036	  -0.007	   0.083	   0.066	   0.089	   0.071	   0.055	   0.034	   0.049	   0.046	    5746	    7034	    6677	    8814	    8814	     03:47
  86	   0.006	  -0.033	  -0.004	   0.013	   0.027	  -0.022	   0.017	   0.011	   0.080	   0.076	   0.080	   0.080	   0.046	   0.046	   0.041	   0.045	    5741	    7244	    8074	    7340	    8074	     03:45
  87	  -0.006	  -0.015	  -0.019	   0.016	   0.023	  -0.029	   0.005	   0.018	   0.086	   0.083	   0.065	   0.077	   0.051	   0.044	   0.047	   0.044	    6124	    6548	    8819	    6873	    8819	     03:31
  88	  -0.000	  -0.021	   0.010	  -0.007	  -0.012	   0.015	  -0.031	  -0.010	   0.080	   0.090	   0.081	   0.090	   0.046	   0.041	   0.050	   0.043	    6563	    6757	    7461	    7649	    7649	     03:45
  89	   0.010	   0.025	   0.011	   0.020	  -0.011	   0.020	  -0.002	  -0.005	   0.069	   0.076	   0.060	   0.091	   0.044	   0.047	   0.048	   0.045	    7055	    6055	    8453	    6727	    8453	     03:27
  90	   0.023	   0.022	  -0.003	   0.026	  -0.011	   0.009	  -0.003	  -0.028	   0.084	   0.066	   0.061	   0.070	   0.043	   0.048	   0.052	   0.052	    5906	    6630	    8649	    6950	    8649	     03:31
  91	   0.009	   0.001	   0.023	   0.005	   0.008	  -0.013	   0.011	   0.013	   0.087	   0.096	   0.063	   0.070	   0.057	   0.045	   0.044	   0.054	    6418	    6125	    7600	    7982	    7982	     03:15
  92	   0.016	   0.006	  -0.000	  -0.007	   0.000	  -0.008	   0.015	   0.042	   0.096	   0.080	   0.079	   0.081	   0.043	   0.053	   0.048	   0.041	    6007	    6803	    7693	    7842	    7842	     03:41
  93	  -0.000	   0.015	   0.022	  -0.005	  -0.003	   0.024	  -0.002	  -0.001	   0.067	   0.082	   0.085	   0.068	   0.045	   0.048	   0.048	   0.044	    7370	    5776	    6634	    8510	    8510	     03:41
  94	  -0.013	   0.021	  -0.004	  -0.001	   0.007	   0.013	   0.044	  -0.017	   0.087	   0.093	   0.078	   0.091	   0.042	   0.041	   0.039	   0.038	    7187	    5384	    8327	    7661	    8327	     03:31
  95	  -0.002	   0.019	   0.028	  -0.013	  -0.020	  -0.010	   0.004	   0.021	   0.083	   0.088	   0.049	   0.076	   0.037	   0.047	   0.053	   0.045	    7021	    5714	    7592	    8010	    8010	     03:39
  96	   0.025	   0.003	   0.000	   0.043	  -0.009	   0.022	  -0.002	  -0.007	   0.060	   0.090	   0.080	   0.069	   0.047	   0.045	   0.043	   0.046	    6913	    6280	    8129	    7005	    8129	     03:27
  97	   0.003	   0.001	  -0.015	   0.024	   0.029	  -0.025	  -0.021	  -0.018	   0.096	   0.074	   0.082	   0.082	   0.046	   0.047	   0.040	   0.043	    5939	    6806	    8633	    7077	    8633	     03:29
  98	  -0.027	  -0.008	  -0.008	  -0.008	   0.009	   0.007	   0.006	  -0.011	   0.096	   0.095	   0.092	   0.066	   0.042	   0.046	   0.039	   0.045	    6888	    5907	    7174	    8401	    8401	     03:23
  99	  -0.002	   0.012	   0.004	   0.029	   0.000	   0.005	  -0.027	  -0.002	   0.078	   0.089	   0.064	   0.066	   0.045	   0.046	   0.047	   0.045	    7052	    5895	    8215	    7165	    8215	     03:37
 100	  -0.021	  -0.036	  -0.022	  -0.009	  -0.013	  -0.003	  -0.003	   0.005	   0.091	   0.070	   0.089	   0.084	   0.050	   0.044	   0.042	   0.042	    6008	    7251	    7750	    7374	    7750	     03:25
 101	  -0.025	   0.009	  -0.010	   0.005	  -0.022	  -0.005	  -0.008	   0.008	   0.087	   0.076	   0.072	   0.082	   0.052	   0.044	   0.045	   0.041	    7023	    6012	    8142	    7169	    8142	     03:35
 102	  -0.008	   0.015	  -0.002	   0.004	   0.022	   0.008	   0.021	  -0.005	   0.080	   0.071	   0.082	   0.063	   0.046	   0.048	   0.047	   0.043	    6696	    5961	    7465	    8130	    8130	     03:31
 103	  -0.017	  -0.022	  -0.027	   0.011	  -0.021	  -0.025	  -0.020	  -0.024	   0.083	   0.061	   0.068	   0.067	   0.043	   0.039	   0.048	   0.039	    5962	    6957	    8533	    6943	    8533	     03:35
 104	   0.000	  -0.011	  -0.000	   0.001	  -0.008	  -0.007	  -0.015	  -0.009	   0.074	   0.076	   0.088	   0.078	   0.045	   0.043	   0.047	   0.051	    6517	    6595	    7429	    7765	    7765	     03:29
 105	   0.018	   0.010	   0.023	   0.002	  -0.007	   0.014	  -0.002	   0.007	   0.071	   0.092	   0.089	   0.068	   0.049	   0.043	   0.039	   0.036	    7039	    6055	    6812	    8595	    8595	     03:39
 106	  -0.001	  -0.002	   0.030	  -0.008	  -0.006	   0.020	   0.008	   0.025	   0.061	   0.082	   0.088	   0.060	   0.048	   0.046	   0.039	   0.039	    7432	    6066	    6076	    8884	    8884	     03:53
 107	   0.031	  -0.005	  -0.012	  -0.001	   0.017	   0.000	   0.015	  -0.001	   0.073	   0.080	   0.084	   0.090	   0.046	   0.046	   0.033	   0.050	    5935	    6868	    8181	    7416	    8181	     03:49
 108	   0.010	  -0.024	  -0.024	  -0.007	  -0.001	   0.004	  -0.012	   0.021	   0.075	   0.092	   0.067	   0.076	   0.047	   0.043	   0.040	   0.040	    6237	    6668	    8357	    7192	    8357	     03:37
 109	  -0.022	   0.002	   0.016	  -0.013	   0.025	  -0.022	  -0.020	   0.003	   0.065	   0.074	   0.086	   0.077	   0.048	   0.047	   0.046	   0.044	    7378	    5714	    6889	    8420	    8420	     03:51
 110	  -0.030	   0.003	  -0.024	  -0.016	  -0.006	   0.018	   0.027	  -0.022	   0.074	   0.085	   0.077	   0.069	   0.055	   0.045	   0.051	   0.042	    7252	    5218	    7763	    7927	    7927	     03:29
 111	  -0.014	  -0.009	  -0.045	   0.018	  -0.000	  -0.019	   0.012	  -0.012	   0.096	   0.080	   0.079	   0.065	   0.051	   0.050	   0.050	   0.047	    5967	    6365	    8840	    6951	    8840	     03:53
 112	   0.005	  -0.017	   0.024	  -0.019	   0.012	  -0.005	   0.016	   0.002	   0.076	   0.078	   0.076	   0.066	   0.039	   0.045	   0.044	   0.042	    6261	    6653	    6719	    8782	    8782	     03:35
 113	  -0.019	   0.022	  -0.003	   0.020	  -0.010	   0.000	  -0.005	   0.009	   0.080	   0.089	   0.080	   0.072	   0.042	   0.043	   0.048	   0.047	    7608	    5407	    7882	    7454	    7882	     03:39
 114	  -0.004	  -0.026	   0.008	   0.001	  -0.009	  -0.007	   0.045	  -0.024	   0.071	   0.083	   0.079	   0.089	   0.050	   0.037	   0.055	   0.045	    6452	    6427	    7801	    7597	    7801	     03:27
